task_id,title,slice_id,slice_title,kind,prerequisites,required_outcome,packet_path
SA00-T01,Create and pin the downstream fork,SA00,Fork adoption and reproducible baseline,task,none,"Clone stable v0.12.1, verify commit/tag, rename remote to upstream, create square/main and baseline tag, add optional owner origin without pushing, add upstream ledger and authority directories",plans/tasks/SA00-T01.md
SA00-T02,Capture the unchanged Windows build/test/package baseline,SA00,Fork adoption and reproducible baseline,task,SA00-T01,"Record toolchain and run backend build/tests/race/lint, frontend install/typecheck/unit/E2E/package, daemon/CLI smoke, and one harmless Windows AO session; preserve all pre-existing failures",plans/tasks/SA00-T02.md
SA00-T03,"License, attribution, identity, telemetry, updater, and data isolation design",SA00,Fork adoption and reproducible baseline,task,SA00-T02,Inventory Apache/NOTICE/dependencies; define Square product/app/installer/data/run-file/worktree/telemetry/updater identities; disable transmission/update replacement in local Square builds without broad rebrand churn,plans/tasks/SA00-T03.md
SA00-T04,Import authority and activate architecture amendment,SA00,Fork adoption and reproducible baseline,task,SA00-T03,Copy accepted plans/UI/behavioral research into docs/square/authority; hash them; accept the session-first amendment and coding-agent rules; mark previous combined draft superseded,plans/tasks/SA00-T04.md
SA00-T05,Adoption gate A0,SA00,Fork adoption and reproducible baseline,gate,SA00-T01..T04,"Review baseline evidence, legal/identity boundaries, upstream pin, authorities, and open blockers; no Square product code may exist before PASS",plans/tasks/SA00-T05.md
SA01-T01,Detach daemon/workflows from desktop window lifetime,SA01,Windows lifecycle and AO platform hardening,task,A0,Ensure closing/reloading Electron releases UI resources only; daemon and live sessions continue; reopen reconnects to the same controller/session without duplication,plans/tasks/SA01-T01.md
SA01-T02,Single daemon and Square data-directory ownership,SA01,Windows lifecycle and AO platform hardening,task,SA01-T01,Add/verify Square-specific run-file/mutex/port/data identity; simultaneous app/CLI startup creates one compatible daemon; official AO cannot be mistaken for Square,plans/tasks/SA01-T02.md
SA01-T03,"Windows ConPTY, input/output/resize/cancel, and descendant cleanup",SA01,Windows lifecycle and AO platform hardening,task,A0,"Exercise existing runtime through Unicode, ANSI, burst, quiet, question, resize, graceful cancel, hard stop, nested children, redirected parent handles, and leak checks; repair only platform leaves",plans/tasks/SA01-T03.md
SA01-T04,Restart reconciliation and controller generation,SA01,Windows lifecycle and AO platform hardening,task,"SA01-T02,T03",Restart desktop/daemon around active/terminal sessions; classify alive/lost/stale/ambiguous bindings; prevent duplicate controllers and unsafe silent relaunch,plans/tasks/SA01-T04.md
SA01-T05,Worktree cleanup and dirty-state safety,SA01,Windows lifecycle and AO platform hardening,task,A0,"Test paths with spaces/Unicode, worktree create/remove, process locks, dirty/untracked work, successful process with cleanup warning, branch collisions, and restart reconciliation; never force-delete user work",plans/tasks/SA01-T05.md
SA01-T06,Windows foundation gate A1,SA01,Windows lifecycle and AO platform hardening,gate,SA01-T01..T05,Accept measurable lifecycle behavior or block Square dependencies; preserve raw evidence and any upstream issue/patch references,plans/tasks/SA01-T06.md
SA02-T01,"Strong IDs, versions, hashes, time, and typed results",SA02,Session-first contracts and deterministic domain,task,A1,"Implement Square strong IDs/value objects, explicit clock/ID ports, canonical UTC/hash/version behavior, typed errors/results; no I/O or AO dependency",compile-at-dispatch
SA02-T02,"Square Session, message, workflow, role, and AO binding records",SA02,Session-first contracts and deterministic domain,task,SA02-T01,"Implement records from SESSION_DOMAIN_MODEL, including user conversation, WorkflowRun, RoleProfile/Assignment/Run, AOExecutionBinding, layout/history references",compile-at-dispatch
SA02-T03,Pure lifecycle reducers,SA02,Session-first contracts and deterministic domain,task,SA02-T02,Implement exhaustive legal/illegal transitions for session/workflow/role/binding/task/interaction/lease; distinguish quiet/stall and final/superseded/new-attempt behavior,compile-at-dispatch
SA02-T04,"Task Brief, Preview, Plan, Task, Acceptance, Review, Receipt, Evidence contracts",SA02,Session-first contracts and deterministic domain,task,"SA02-T01,T02","Define versioned DTO/domain artifacts with falsifiable acceptance, path scopes, budgets, stop conditions, immutable baselines/results, artifact hashes, and golden examples",compile-at-dispatch
SA02-T05,Role routing profile and actual model identity contract,SA02,Session-first contracts and deterministic domain,task,"SA02-T01,T02","Implement AUTO/PREFERRED/PINNED, precedence, route/certification/decision records, requested/resolved/actual identity, reviewer independence, fallback and live-route-change rules",compile-at-dispatch
SA02-T06,Square API/event contract and generated TypeScript parity,SA02,Session-first contracts and deterministic domain,task,SA02-T02..T05,"Define service/HTTP DTOs and event resource shapes, register draft OpenAPI operations, generate TypeScript, add golden cross-language fixtures and version behavior",compile-at-dispatch
SA02-T07,Contract gate A2,SA02,Session-first contracts and deterministic domain,gate,SA02-T01..T06,Freeze `square.contracts 1.0-draft`; pure domain has no host/storage/adapter dependency; all schemas/examples/reducers/routing matrices pass,compile-at-dispatch
SA03-T01,Square migration range and schema registry,SA03,"Durable state, semantic events, artifacts, leases, and recovery",task,A2,"Inspect upstream migration sequence, define collision policy, add forward-only registry/identity migration and backup/newer/inconsistent checks without editing AO history",compile-at-dispatch
SA03-T02,"Session, conversation, workflow, role, task, and binding schema",SA03,"Durable state, semantic events, artifacts, leases, and recovery",task,SA03-T01,"Add core square_* tables/constraints/indexes/triggers, sqlc queries and stores; keep generated rows behind store methods",compile-at-dispatch
SA03-T03,Semantic events and transactional projections,SA03,"Durable state, semantic events, artifacts, leases, and recovery",task,SA03-T02,"Add append-only square_events, aggregate/global sequence, event+projection transaction helper, CDC triggers, duplicate and failure injection tests",compile-at-dispatch
SA03-T04,"Idempotency, writer leases, controller generations, and AO bindings",SA03,"Durable state, semantic events, artifacts, leases, and recovery",task,"SA03-T02,T03","Implement command result replay/conflict, worktree lease/fence, binding generation/reconciliation states, stale commit denial, concurrent tests",compile-at-dispatch
SA03-T05,Content-addressed artifacts and retained terminal/history references,SA03,"Durable state, semantic events, artifacts, leases, and recovery",task,SA03-T02,"Add spool/hash/atomic move/dedup/read validation/orphan reconciliation and metadata for packets, reports, receipts, evidence, handovers, bounded terminal/Chat chunks",compile-at-dispatch
SA03-T06,Migration/corruption/crash/recovery matrix and gate A3,SA03,"Durable state, semantic events, artifacts, leases, and recovery",gate,SA03-T01..T05,"Test baseline AO DB upgrade, every Square migration path, crash boundaries, newer/corrupt/inconsistent state, event atomicity, artifact/lease/binding recovery; accept A3",compile-at-dispatch
SA04-T01,Inventory AO adapter/model/permission capabilities,SA04,Role route registry and AO execution facade,task,"A2,A3","Inspect exact pinned adapters and launch commands; record model forwarding, actual identity, modes, permissions, Chat/terminal/reviewer, resume/cancel/activity, Windows behavior",compile-at-dispatch
SA04-T02,Route discovery and certification service,SA04,Role route registry and AO execution facade,task,SA04-T01,"Implement discovered/probing/certified/degraded/quarantined/unavailable/expired records, executable/version/hash probes, role eligibility and redacted evidence",compile-at-dispatch
SA04-T03,Requested/resolved/actual identity verification,SA04,Role route registry and AO execution facade,task,SA04-T02,Create adapter conformance seam and fixtures; pinned route fails if required model cannot be verified; preferred fallback and AUTO decision artifact are durable,compile-at-dispatch
SA04-T04,Square AO execution facade,SA04,Role route registry and AO execution facade,task,"A3,SA04-T02",Wrap AO service/session_manager for reserve/start/send/checkpoint/cancel/hard-stop/observe/release; no direct adapter/runtime/worktree access from workflow services,compile-at-dispatch
SA04-T05,Role packet/prompt compiler and bounded artifact boundary,SA04,Role route registry and AO execution facade,task,"SA02-T04,T05,SA04-T04","Compile role-specific minimal input, authority and output schema; prevent nested agents/unbounded scope; finish role run after artifact/blocker and preserve handover",compile-at-dispatch
SA04-T06,Fake route/adapter execution and gate A4,SA04,Role route registry and AO execution facade,gate,SA04-T03..T05,Use deterministic fake role scenarios for success/question/approval/auth/quiet/burst/crash/missing/conflicting artifact/cancel/restart; verify AO binding and no always-on model,compile-at-dispatch
SA05-T01,Session and durable conversation service/API,SA05,"Session API, read models, events, and fake workflows",task,"A3,A4",Create/list/get/archive sessions; add versioned messages/corrections; assemble session navigator/detail read models; idempotency and optimistic-version checks,compile-at-dispatch
